Blog	here	music	want	how	hot	re	busy	best	never	much	life	things	has	right	old	people	o	winter	st	so	city	take	going	where	vacation	summer	being	world	favorite	her	am	an	as	th	pics	week	see	last	blog	d	spring	be	by	us	video	let	great	baby	thanksgiving	ve	vs	off	work	beach	break	they	away	night	post	months	way	was	welcome	update	live	can	heart	still	not	now	year	friend	that	than	these	two	real	your	month	family	miss	pictures	look	game	some	e	go	halloween	need	years	party	well	home	he	friends	ever	room	before	better	girls	don	m	bad	if	make	thoughts	just	down	weekend	finally	did	mr	boy	crazy	sunday	may	man	rock	girl	morning	thing	think	first	little	show	black	get	tour	again	fall	town	good	another	house	park	part	b	fun	big	boys	random	do	la	ll	red	have	easter	like	about	but	hate	school	end	over	saturday	god	got	free	days	too	snow	wedding	news	been	n	mother	christmas	dinner	why	trip	when	brother	today	birthday	she	coming	season	r	come	check	oh	or	there	really	friday	story	art	c	sweet	long	say	something	our	out	july	who	will	book	know
Brady and Jordyn	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	13	3	0	0	0	0	0	0	0	1	0	2	0	0	0	16	15	1	0	1	0	0	2	0	1	0	0	0	0	3	7	0	0	1	0	6	2	0	0	6	0	2	0	0	0	9	1	0	0	0	0	3	10	0	0	0	1	0	2	0	4	8	0	1	2	4	1	0	1	8	0	5	27	0	3	2	3	0	1	0	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	3	0	0	0	6	0	0	0	3	0	2	0	1	0	0	3	0	1	0	3	2	1	1	4	0	0	3	0	0	0	0	1	10	0	0	0	0	17	2	0	0	0	1	0	0	0	5	2	2	1	0	0	28	5	0	11	0	0	1	39	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	8	2	0	0	0	0
IS IT BED TIME YET?	2	0	0	0	0	1	2	0	1	0	1	4	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	1	0	2	1	2	0	0	0	0	0	0	1	2	0	0	1	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1	1	1	2	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	3	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	3	3	0	0	0	0	0	0	6	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	3	1	0	1	0	0	1	0	0	0
A Tail Of Two Pugs	3	0	0	1	0	4	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	2	1	0	0	0	2	0	0	0	3	3	1	1	1	1	2	2	1	2	3	1	1	0	0	2	4	4	0	0	0	1	0	0	27	1	0	0	2	1	5	0	1	0	1	3	0	1	0	0	0	0	0	0	1	1	0	0	1	2	0	1	0	1	1	0	0	3	1	6	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	6	0	0	1	0	6	2	0	5	1	1	1	0	0	2	0	0	0	0	0	2	0	0	0	2	0	1	4	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	2	0	1	0	0	0	2	0	3	4	0	0	5	1	0	2	1	0	0	8	0	0	0	0	0	1	1	0	0	0	0	2	0	0	3	1	0	0	10	1	3	4	0	0	0
La Vita: Aller Là-bas	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Amazing Grace	1	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	1	0	3	0	0	1	4	0	0	2	0	2	0	0	2	1	0	2	0	7	1	1	0	0	0	1	2	1	0	0	1	9	2	0	0	5	1	0	0	0	1	2	0	10	0	0	1	12	0	1	0	0	1	0	5	0	0	0	2	2	0	4	1	4	1	1	0	0	1	1	3	2	0	1	1	0	8	1	0	1	3	0	0	1	0	2	0	0	1	0	0	0	3	0	0	0	1	0	1	0	0	0	4	0	0	0	4	0	0	0	2	0	3	0	1	3	2	1	1	3	1	0	4	0	0	8	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2	2	0	2	3	0	0	2	4	5	3	0	1	2	0	1	8	0	1	0	0	1	0	2	1	0	0	1	0	0	0	1	1	0	0	4	2	1	0	1	3	1
Life from where we are	3	0	1	8	1	1	5	3	0	0	8	2	2	1	4	2	1	4	0	3	0	1	0	2	0	2	3	1	1	1	1	4	2	0	2	0	2	3	0	0	9	4	4	1	0	1	0	2	2	1	0	1	1	3	0	4	2	1	1	0	0	5	1	1	0	3	2	2	9	1	7	3	13	1	0	5	2	4	0	2	12	1	3	3	2	0	6	2	1	3	6	1	0	1	2	0	22	0	1	0	3	6	1	1	3	0	9	4	3	3	11	1	0	7	7	1	1	1	0	11	1	3	3	3	0	2	1	0	2	2	4	5	1	0	7	3	2	2	3	0	2	17	0	0	1	4	2	6	0	1	0	3	1	1	3	0	3	2	0	0	8	0	0	2	0	5	3	4	3	4	5	1	1	15	7	1	0	0	1	0	5	8	2	1	0	0	0	1	0	2	1	0	1	6	1	5	1	0	3
Undiscovered Celebrity	5	6	6	4	4	1	0	5	1	2	3	2	1	2	0	2	1	0	1	11	2	1	0	2	0	0	1	3	2	1	3	0	0	2	0	4	1	0	1	0	0	10	1	0	8	0	0	0	0	2	0	0	2	0	0	1	1	0	2	0	0	4	1	1	3	4	1	3	1	3	1	0	2	1	1	1	6	6	1	2	1	0	1	0	4	0	1	0	2	0	0	0	2	1	0	3	0	0	1	0	1	5	1	3	0	0	6	0	0	3	4	1	2	5	0	1	1	1	1	0	3	2	2	3	0	0	0	0	1	0	0	11	2	1	0	0	0	4	1	0	0	4	2	0	1	4	1	7	4	1	0	0	0	4	0	2	1	4	1	3	0	1	5	6	0	1	0	0	6	0	0	0	4	1	4	0	1	0	0	2	7	2	3	6	0	1	1	0	0	0	5	3	0	7	0	3	4	1	3
Eleutherophobia	2	1	3	3	0	8	0	0	2	1	2	0	1	2	0	2	2	0	0	3	0	0	0	2	0	0	0	2	0	0	2	1	2	2	0	0	2	0	0	2	0	8	1	0	0	0	1	0	0	0	0	3	0	0	0	7	0	0	0	0	2	2	0	0	0	3	1	3	3	7	0	2	8	0	0	0	2	1	0	0	1	0	3	1	1	1	0	0	2	0	0	3	1	0	0	0	0	0	0	0	6	10	0	2	2	0	6	2	0	0	1	0	0	0	1	2	0	1	0	1	0	4	1	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	7	0	3	0	10	1	2	0	0	0	2	0	1	0	1	1	2	0	0	0	0	1	0	0	0	1	0	2	0	1	0	1	1	0	6	4	0	6	2	1	1	1	0	0	5	1	0	1	3	4	2	0	4	3	0	6
living is my job and my art	3	3	4	7	0	1	1	3	3	5	7	6	0	4	2	1	0	0	0	11	1	0	2	3	2	2	2	3	2	0	6	3	1	2	0	6	1	8	2	1	2	9	2	0	0	2	2	3	2	2	0	1	2	0	4	1	0	3	2	2	2	0	5	0	1	1	3	4	6	8	1	1	6	3	1	3	6	3	2	2	0	2	0	1	3	2	4	2	1	0	0	2	3	1	3	0	0	4	0	2	3	9	1	2	1	2	1	0	6	0	1	0	0	3	6	1	1	0	2	5	2	1	3	7	0	0	0	0	4	1	2	12	2	1	0	3	0	3	1	2	0	7	0	0	0	2	1	3	11	3	1	6	0	1	1	0	0	2	3	2	0	0	2	2	1	1	1	1	3	0	3	1	3	3	1	0	2	0	2	2	8	3	1	6	1	0	1	0	0	2	1	3	0	3	1	1	0	0	2
Breathe A Little Deeper...	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Family of 4	5	0	0	2	0	5	1	0	2	0	0	1	1	0	3	0	0	0	1	3	0	0	1	2	5	2	1	0	1	1	0	2	1	0	0	7	1	0	1	1	2	2	1	1	1	1	5	1	1	0	0	0	0	0	0	0	1	2	2	2	0	2	0	8	0	0	0	2	1	0	5	0	1	0	1	1	0	0	0	2	0	6	1	0	2	0	1	3	0	0	1	2	0	1	0	0	0	0	0	4	0	2	0	1	0	0	3	0	3	2	0	0	0	0	0	0	0	0	3	0	0	0	2	7	0	0	0	0	2	5	0	0	2	0	2	6	0	5	4	0	3	2	0	0	0	3	3	1	1	0	0	0	0	0	0	0	0	1	1	2	3	0	0	2	0	1	7	0	0	3	0	0	0	7	1	1	1	0	0	1	1	0	1	1	2	0	0	0	4	2	0	1	8	1	0	4	0	1	4
Nikos Chrisikakis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	1	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	7	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	2	1	0	0	1	0	0	0	0	0
Whitney's	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	7	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	1	4	0	0	0	0	1	3	0	0	1	1	1	5	0	0	2	0	0	1	1	0	0	1	5	0	1	0	0	1	0	0	3	5	0	2	1	3	1	0	1	2	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	6	3	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	3	0	2	1	1	0	5	0	0	0	3	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	5	0	0	2	1	0	0	11	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	3	1	0	0
KASMS	0	1	1	0	0	2	0	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	3	0	0	2	4	2	0	0	0	0	0	0	4	2	3	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	2	3	2	0	2	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	2	0	0	0	2	3	2	0	1	2	1	0	0	1	0	1	3	1	0	1	0	0	1	2	0	1	1	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	1	1	0	0	1	1	1	0	2	0	0	0	0	1	1	1	4	0	0	2	2	0	0	0	0	1	0	0	2	1	2	2	0	0	0
Kaegans Calling	2	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	1	2	6	1	0	5	0	1	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	1	0	1	0	0	1	3	0	1	2	1	0	0	1	0	0	0	0	0	1	1	0	2	0	5	1	2	0	0	2	3	0	0	2	1	6	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	6	1	0	0	0	0	4	1	1	0	2	0	1	0	0	3	5	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	3	0	0	1	0	0	3	0	4	0	0	4	0	0	2	0	3	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	5	0	1	0	0	0	1
Life as its seen & lived	0	1	0	1	0	0	0	4	0	1	4	2	0	2	2	0	0	0	0	1	0	0	0	0	0	1	3	4	0	2	0	2	2	1	2	2	0	0	3	0	4	1	1	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	2	0	0	0	0	0	1	0	0	0	1	1	1	1	1	2	0	0	0	2	1	0	1	1	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	1	0	1	3	1	0	0	0	0	4	0	0	0	1	0	1	1	2	2	0	0	2	0	0	1	0	2	0	1	1	3	0	0	0	0	2	0	0	0	0	1	0	3	1	2	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	3	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	1	2	0	0	0	0	1	1	1	0	1	0	0	1	2
CINEMUERTE	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	3	0	1	4	0	4	2	0	0	0	1	0	3	0	0	3	1	1	0	0	0	0	0	2	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	3	1	1	2	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	7	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	1	0	0	0	1	0	0	2	1	3	0	0	0	1	0	3	0	0	1	0	1	0	0	11	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	5	1	2	0	0	0	0	0	0	1	4	0	2	0	0	1	3	1	0	1	0	2
D.E.A.D.R.A.M.O.N.E.	3	1	0	4	1	1	0	4	2	1	0	1	0	3	2	0	0	0	1	7	3	3	2	2	2	5	0	1	0	2	4	0	5	0	0	0	1	0	0	3	0	2	2	1	2	5	0	0	0	1	0	2	0	0	1	2	0	0	0	0	2	1	1	2	0	3	2	1	5	1	1	0	8	1	2	0	1	5	0	0	0	0	2	2	6	0	5	0	1	0	0	0	5	4	5	3	0	3	3	2	4	13	2	1	4	0	3	3	0	0	1	0	1	1	0	0	3	2	0	0	1	0	1	0	4	0	3	3	3	2	1	2	1	2	1	0	0	5	2	1	0	3	0	5	1	5	0	3	1	3	1	0	3	2	0	0	5	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	2	2	0	0	2	1	3	0	3	0	0	0	1	0	0	1	2	3	1	1	0	2	2	0	1
Foxy Pink Cheetah	3	3	3	3	1	4	1	3	2	1	2	4	2	3	0	4	2	0	0	8	0	4	2	1	0	0	0	2	1	1	1	6	5	0	0	3	1	2	6	1	1	13	0	1	0	4	0	4	0	5	1	1	0	0	2	1	0	1	8	0	3	2	0	1	0	4	1	1	11	2	2	1	5	2	0	2	3	4	0	0	3	2	0	0	3	1	1	1	1	0	0	0	0	1	0	5	0	3	2	4	6	23	0	5	1	4	4	1	0	1	1	0	3	0	1	3	1	0	4	0	1	6	0	8	1	0	10	0	0	0	0	5	3	0	0	0	0	0	5	1	0	3	0	2	0	13	0	4	11	3	4	2	1	1	0	1	2	0	1	6	0	1	1	3	0	0	6	0	6	1	4	0	0	0	0	2	0	0	0	0	3	4	2	1	0	1	0	0	0	2	2	1	0	3	0	2	2	0	3
Electric Mud	0	4	0	0	1	0	0	0	0	0	2	1	0	0	0	1	2	1	10	0	4	1	0	0	0	1	0	4	0	1	0	1	1	1	0	0	1	0	0	0	0	4	7	4	3	0	4	5	1	2	1	2	0	0	0	0	1	1	0	0	4	3	1	0	7	2	0	0	1	0	3	0	1	0	0	0	2	2	0	0	1	1	0	3	2	1	0	3	0	1	0	0	1	1	0	1	3	2	0	0	5	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	7	10	0	1	0	2	3	0	6	18	3	0	1	0	0	1	0	1	0	0	1	0	3	1	0	1	2	0	0	0	0	0	1	1	0	0	2	0	0	3	2	1	0	2	1	0	1	1	1	1	1	0	1	1	1	3	1	0	1	0	1	4	0	0	0	0	1	0	1	1	5	5	2	0	2	2	1	6	0	2	2	7	0
kbear's journey	7	2	1	0	0	3	0	3	0	0	2	0	0	0	2	2	1	2	0	1	0	2	2	1	0	3	1	1	1	1	1	3	1	1	0	0	2	0	0	0	3	1	2	0	0	2	0	0	2	1	0	3	0	0	0	1	1	1	1	0	1	2	1	0	0	0	4	3	2	0	2	2	0	1	0	0	2	0	0	1	1	0	2	0	0	2	1	3	3	0	3	0	3	0	0	1	0	0	1	0	1	0	0	1	1	0	2	2	0	0	0	1	0	1	1	0	2	1	0	0	1	0	0	5	0	2	1	0	4	2	3	2	4	2	1	0	3	1	2	0	0	4	0	1	6	0	0	1	1	0	0	1	2	0	0	0	1	3	1	2	4	0	0	0	5	2	10	0	0	3	1	1	3	5	2	0	0	2	3	0	0	0	2	0	0	1	5	9	0	0	0	0	4	4	0	0	0	0	0
F-Measure	0	1	1	0	1	0	0	1	2	0	0	0	0	0	1	2	0	0	0	1	0	1	0	1	0	0	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	2	0	1	1	4	0	0	0	1	1	0	3	0	0	0	2	1	1	0	2	0	0	2	0	3	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	3	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	2	6	0	0	0	0	1	0	2	1	0	1	0	1	1	1	2	0	0	1	0	1	4	0	2	0	0	3	2	0	1	0	0	0	2	1	0	0	2	2	1	5	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	5	0	3	0	0	1
McBarbie	1	1	0	2	0	1	0	1	0	0	1	2	2	1	2	1	0	0	0	1	1	0	0	2	0	0	0	0	0	2	0	0	1	0	0	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	2	7	2	0	2	0	0	1	1	1	0	0	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	3	2	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	6	1	0	2	0	1	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	3	0	1	1	2	0	2	1	0	2	0	0	0	0	1	2	0	0	1	3	0	2	0	0	2
Welcome to our LIfe	3	0	0	0	0	0	3	1	1	1	0	1	1	0	1	0	0	3	4	1	2	0	1	0	0	2	0	1	0	0	2	0	0	2	8	1	0	2	0	1	1	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0	0	0	3	8	0	1	2	0	0	1	2	6	1	2	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	1	2	0	0	1	0	1	0	1	2	0	0	0	0	5	1	3	0	0	0	1	1	2	0	3	1	1	0	0	8	3	0	0	0	0	0	0	0	5	0	0	0	2	9	0	0	0	0	0	0	4	0	1	1	1	0	2	0	7	2	0	7	0	1	0	6	0	0	0	0	1	2	0	3	0	0	0	0	0	0	0	1	0	0	4	8	1	1	0	0	0
Speaking my Mind Out	0	1	2	8	0	0	0	0	0	3	6	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	3	1	0	10	2	0	0	0	0	0	1	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	1	3	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	2	0	0	0	1	0	1	2	0	0	0	0	0	4	7	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0
rendezvous	2	1	1	2	0	3	0	0	2	1	4	5	1	0	2	0	0	0	0	7	1	1	5	7	3	1	2	1	1	0	4	2	1	2	1	1	0	2	0	4	2	5	3	0	0	3	0	4	0	0	1	1	0	1	2	1	2	3	3	0	1	0	1	0	0	3	3	0	0	2	8	0	5	1	1	1	0	8	1	0	3	0	6	1	1	0	3	1	0	0	0	1	2	0	1	0	1	3	0	0	3	5	0	4	3	0	5	1	2	3	1	2	0	1	0	2	1	0	1	0	2	1	3	2	0	1	0	2	2	1	3	3	6	0	1	0	2	0	2	0	3	4	0	3	1	3	0	3	2	6	3	1	1	1	0	0	2	0	2	2	0	3	0	1	0	1	5	2	4	3	4	1	2	0	3	3	0	1	1	0	5	7	3	0	4	1	0	0	1	1	4	3	0	6	0	1	1	0	5
任逍遥	0	1	2	6	0	5	0	2	3	1	3	8	2	0	2	2	1	0	1	5	1	4	0	4	0	1	0	4	0	3	2	2	3	0	0	0	1	1	1	4	2	14	3	3	1	8	1	2	0	2	0	3	0	0	1	4	4	4	0	0	2	5	0	0	1	4	2	1	5	3	1	0	20	0	2	1	4	19	0	0	0	0	3	2	6	2	9	0	2	1	0	1	1	4	0	4	1	1	1	0	3	4	1	3	6	1	7	2	0	0	1	1	0	0	1	1	3	2	4	0	0	2	1	1	1	1	1	0	1	0	0	0	2	1	2	3	0	1	0	0	0	5	0	2	1	6	0	16	3	5	1	0	0	0	3	0	3	2	0	2	0	0	0	2	2	1	0	0	1	0	3	0	1	0	10	0	1	0	1	0	3	5	6	4	2	0	0	0	3	1	5	2	4	7	0	1	3	0	5
My Digi Corner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Too North Dakota for University	1	1	1	2	1	0	0	0	1	2	3	1	0	1	1	0	0	0	1	4	0	0	1	0	0	0	1	0	0	0	1	3	3	0	0	0	0	2	1	0	0	0	2	0	0	1	0	0	0	1	0	1	1	0	0	1	2	1	0	0	0	1	0	1	0	2	2	1	3	2	2	0	2	2	0	0	0	7	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	0	5	1	1	4	2	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	6	0	0	0	1	2	1	0	0	1	0	1	0	0	0	0	1	3	0	3	0	3	2	5	0	0	1	1	1	0	0	0	2	4	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	3	1	0	0	0	0	1	0	0	0	4	1	0	0	0	0	1	2
That's What I Was Going To Say	3	3	1	2	0	5	0	1	2	0	1	3	1	0	3	2	0	0	1	4	0	2	1	1	0	1	3	0	9	2	1	2	1	1	0	166	1	2	1	1	0	14	30	0	1	5	10	0	2	4	2	3	0	0	0	4	6	4	2	0	0	1	0	4	3	2	0	2	3	8	2	3	8	0	1	3	0	4	0	0	0	0	1	2	2	0	5	2	2	4	1	2	3	1	1	3	1	0	0	1	2	2	0	0	2	1	1	1	6	1	0	1	0	0	75	0	0	7	0	0	2	0	5	0	1	1	1	1	5	0	1	6	5	0	0	7	0	0	0	0	0	3	0	2	0	0	0	0	2	1	0	0	0	0	1	0	3	3	2	0	0	0	2	1	1	2	3	1	2	1	0	0	2	2	0	3	1	2	0	0	1	3	2	1	2	0	1	0	0	0	3	1	3	4	0	3	4	0	1
Roos News	2	0	2	0	3	0	0	0	0	0	2	3	2	0	0	0	0	0	3	0	0	0	1	0	2	1	1	0	2	1	0	0	0	0	0	0	0	0	2	0	1	2	3	0	0	6	1	7	1	0	0	0	1	1	0	1	1	4	0	1	1	1	1	2	0	0	0	1	4	1	0	4	3	1	0	3	0	3	4	5	2	2	2	1	2	0	7	2	0	2	4	1	3	1	1	0	0	0	0	0	3	2	0	2	0	2	1	2	4	1	0	3	8	0	0	0	3	1	0	0	0	1	0	2	1	0	2	0	1	1	0	4	0	1	1	6	0	8	3	2	7	3	0	1	0	0	2	3	2	0	0	0	0	1	0	0	0	0	0	2	5	1	0	0	0	2	3	1	1	1	0	1	1	6	0	0	0	0	1	0	0	3	1	0	3	0	0	0	1	0	0	0	5	3	0	4	1	0	0
Every Day, From Here to There...	2	0	1	2	0	0	0	0	0	1	1	4	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	1	4	2	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	2	1	1	2	0	1	0	1	0	1	3	0	0	0	3	0	2	0	1	2	0	1	1	3	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	3	2	2	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	2	0	0	2	0	1	0	0	1	2	1	1	0	0	0	1	0	2	1	0	2	0	3	0	1	3	0	0	1	0	0	0	0	2	1	2	4	2	0	0	1	0	1	5	1	3	0	1	0	4	2	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	1	0	1	2	0	0	2
What's Nycole Up To These Days?	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	2	1	0	0	2	1	3	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	2	0	0	0	1	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	1	0	1	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	2	0	0
