Blog hanging	wednesday	travel	fit	size	bottom	grandma	grateful	west	photos	technology	dirty	cream	research	hahaha	details	dogs	kitchen	test	teacher	poor	pool	evening	heavy	american	obviously	similar	links	including	university	tuesday	http	liked	likes	movies	anymore	personal	omg	lovely	dear	afternoon	happening	father	talked	fuck	speaking	label	download	quickly	stuck	apartment	king	wrote	shirt	questions	expect	edit	g	married	joe	kinda	hurt	machine	twitter	theme	babies	current	winter	records	pop	act	ah	al	community	results	jesus	email	co	cd	ball	moments	comments	em	el	breakfast	classic	ahead	nights	march	click	till	ben	language	luck	im	www	daddy	died	skin	pink	gotta	safe	nose	students	search	blood	blogging	y	broken	six	national	center	bus	mp	mr	several	gift	chocolate	color	program	presentation	arrived	planning	brain	create	record	lord	easier	series	tree	shower	previous	son	sign	fish	death	continue	spring	un	uk	fresh	truth	daughter	beach	japan	created	cat	album	card	message	price	history	ya	stopped	usual	lines	based	strange	explain	disco	website	human	join	tears	artist	shop	nearly	members	train	actual	hospital	onto	report	focus	cook	unfortunately	ideas	college	nd	ladies	thursday	basically	v	hotel	mommy	problems	wall	whether	beauty	knowing	smell	truck	slow	complete	certain	consider	dress	currently	hoping	major	produced	upon	tickets	india	office	received	speak	reality	brown	honest	online	notice	building	stayed	beyond	bonus	youtube	mentioned	exactly	woke	bar	die	everybody	soul	stupid	mark	shopping	doctor	tour	collection	mention	south	unless	alive	quick	memory	review	reach	aren	various	amount	choose	conversation	chicken	english	lead	june	service	mouth	singer	cup	roll	choice	matt	pulled	internet	situation	singapore	learning	followed	entire	land	process	realize	web	sarah	coffee	l	john	nobody	hang	easily	musical	josh	update	non	gonna	tracks	station	feels	forgotten	lived	popular	michael	parts	headed	lose	library	star	somehow	performance	among	^	sleeping	enjoying	facebook	restaurant	que	happens	wedding	conference	level	posts	guitar	taste	wife	weight	peace	holiday	fear	feat	opening	wanna	perhaps	cake	episode	fair	possible	began	wondering	spot	vacation	image	passed	original	content	pics	action	keeping	science	information	w	session	recent	hello	standing	david	figured	stage	study	dj	dr	fight	interested	hell	indeed	okay	ground	husband	concert	article	media	ft	jordan	towards	wow	himself	noticed	ha	net	posting	points	items	form	shit	digital	fell	yummy	pain	videos	release	bunch	la	comment	latest	photo	bands	na	events	worse	worst	ten	tea	difficult	health	added	sharing	reasons	sort	cars	itself	example	rd	everywhere	adam	large	gold	cry	available	church	seemed	magic	challenge	system	dan	total	earlier	war	certainly	presented	truly	cannot	celebrate	damn	picked	data	admit	immediately	warm	dog	lazy	opportunity	dreams	managed	film	difference	public	simply	ran	f	apparently	mid	mix	lol	snow	radio	released	slowly	chinese	finding	rainy	remix	related	july	scared	exciting	below	ate	season	punk	sat	pages	org	chase	pieces	haha	law	eventually	holding	market	club	worry	albums	makeup	control	quality	became	japanese	lights	lyrics	daily	lake	everyday	laughing	further	particular	gotten	dancing	meeting	kill	entry	google	ourselves	favourite	sing	de	text	calling	general	helped	soft	j	changed	changes	driving	sky	bye	practice	window	ep	
Wardell Family	2	3	0	1	3	1	25	8	0	4	2	1	6	0	0	1	1	5	1	3	7	2	1	0	1	0	0	0	0	0	0	4	1	1	0	3	1	0	0	3	1	0	11	2	0	1	0	0	2	2	1	2	2	3	1	2	0	2	4	0	10	2	0	0	1	6	1	0	0	0	2	0	0	0	1	2	3	1	0	5	3	4	0	0	6	0	2	3	3	4	0	0	1	2	0	3	5	2	2	12	1	2	1	0	0	2	2	3	4	1	0	3	0	0	1	0	4	10	2	2	0	4	0	0	6	0	4	1	1	7	5	1	2	1	2	0	5	4	0	0	1	0	3	11	1	1	0	0	3	0	0	1	18	3	0	0	2	1	3	2	1	2	2	5	0	0	0	5	2	2	5	4	0	5	0	2	2	1	3	2	3	1	1	2	8	2	7	2	1	2	1	0	1	1	2	0	1	3	1	4	0	0	1	0	5	2	3	2	0	0	3	6	1	4	1	0	0	1	0	1	0	1	1	1	0	1	5	1	0	0	6	2	1	1	4	4	0	3	2	1	2	1	1	2	1	1	1	0	3	0	3	3	2	0	0	0	0	0	3	2	0	0	2	0	0	0	0	2	1	0	4	1	1	0	2	1	4	0	0	2	0	1	0	3	0	4	1	1	6	2	3	1	0	3	2	1	2	0	1	1	2	0	3	4	0	4	0	4	2	2	0	2	7	2	11	1	0	1	0	0	0	2	0	3	1	3	29	0	4	0	0	4	0	1	0	0	0	3	2	0	0	3	0	1	0	0	2	0	9	2	3	1	1	0	0	7	7	1	10	0	8	1	0	0	0	3	6	10	4	1	0	0	0	4	0	2	0	0	0	2	2	0	0	1	3	2	2	1	3	4	0	3	2	3	0	1	0	6	2	10	0	2	0	0	2	0	0	1	0	0	6	1	4	0	0	0	6	2	2	2	3	4	0	1	0	0	1	0	1	8	0	0	3	0	8	0	1	2	0	1	0	0	0	4	1	0	1	16	7	0	0	0	0	0	2	0	10	2	3	1	0	3	0	1	1	2	2	0	3	1	1	4	10	3	2	1	0	3	1	0	0	0	3	0	4	0	1	4	2	5	2	3	4	1	3	1	3	2	0	0	
Never Ending Journey	8	8	4	10	3	4	0	0	4	11	0	2	2	3	0	7	51	10	2	5	17	0	38	17	0	15	7	2	9	1	11	5	3	4	3	2	20	4	4	4	16	0	8	24	0	10	0	0	17	7	1	2	5	5	5	20	0	2	8	2	16	17	4	0	0	10	6	34	7	6	0	0	2	4	4	0	9	5	0	0	6	19	1	0	9	0	23	14	8	5	18	0	13	12	2	8	6	8	21	2	5	13	11	4	5	19	2	16	12	15	3	1	0	0	0	132	3	1	2	7	2	10	6	3	2	2	2	6	4	16	4	12	9	6	1	9	19	18	5	1	10	5	33	1	1	2	3	1	5	12	1	6	15	22	24	3	5	12	9	0	0	9	6	8	2	10	28	3	1	1	5	15	8	10	4	9	8	4	2	3	16	3	6	2	2	14	3	10	8	19	7	46	15	9	8	5	3	2	13	5	0	3	0	0	61	2	4	3	3	12	1	5	17	11	12	0	2	10	12	25	1	4	0	0	1	1	5	26	3	0	1	4	7	4	10	6	3	5	20	7	10	4	9	6	6	1	7	6	8	0	14	9	8	0	20	9	32	0	20	12	1	4	22	24	0	0	17	5	1	0	8	6	0	0	11	6	19	3	2	16	6	12	0	0	12	4	11	1	2	4	0	4	2	15	13	5	2	0	11	0	1	27	20	0	5	10	20	14	13	12	1	5	1	34	0	0	6	35	68	5	11	9	1	7	3	6	2	8	5	2	7	3	3	8	3	6	1	13	6	25	0	2	3	6	6	6	0	21	24	0	8	2	0	0	0	9	6	20	11	2	6	4	7	5	2	0	9	3	32	0	9	1	2	6	4	12	0	0	19	24	15	21	10	24	20	14	4	4	18	4	7	3	4	5	0	5	1	3	3	4	22	0	8	8	0	5	11	3	22	0	9	1	2	10	13	2	8	10	11	27	10	4	2	8	0	6	3	32	28	4	10	9	9	15	43	1	4	13	0	8	1	0	7	3	3	9	12	6	5	0	12	2	1	2	10	0	7	15	8	2	1	11	1	1	9	7	17	0	2	0	11	1	0	4	4	9	3	2	14	1	0	4	7	0	1	3	7	16	5	13	9	0	22	19	23	14	0	16	13	0	
Getting Started	4	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	4	1	3	0	0	0	2	0	0	0	1	1	0	3	1	0	2	2	0	0	2	7	0	0	1	0	3	0	2	0	0	1	1	1	3	3	1	0	0	2	2	0	6	5	2	0	0	0	0	0	1	1	3	1	5	1	0	0	3	1	2	0	1	3	1	2	0	0	0	1	0	0	4	1	1	2	0	1	0	4	0	0	1	1	3	0	0	8	2	0	0	0	1	1	2	0	2	0	1	1	4	0	0	1	2	2	2	1	2	1	0	0	1	1	1	2	0	6	1	0	6	0	0	0	3	0	0	0	0	2	0	2	1	8	17	2	0	2	1	0	0	0	1	5	0	1	1	0	1	1	0	0	2	0	0	1	0	1	0	1	3	2	3	0	0	3	0	2	0	0	1	1	1	0	0	3	1	0	1	0	2	0	0	0	0	0	2	1	2	0	1	0	2	1	4	2	0	1	0	0	11	0	2	8	0	5	12	0	0	1	0	2	1	0	1	1	1	1	0	2	1	0	0	1	1	1	6	4	2	0	0	0	7	0	2	0	0	0	0	0	1	1	1	0	0	0	0	0	4	3	0	0	0	2	0	0	0	2	18	0	2	2	2	0	2	0	1	0	3	0	1	6	0	1	0	1	0	0	0	9	2	1	0	0	1	0	1	3	0	4	0	3	0	1	12	0	1	0	3	2	0	3	0	0	1	5	0	3	0	0	1	0	1	22	0	0	0	2	0	0	1	3	0	0	6	1	10	0	0	2	4	0	6	1	0	1	0	0	1	0	3	3	1	2	0	0	7	0	0	0	5	0	0	1	4	0	0	1	1	0	0	2	0	0	1	1	2	0	2	2	1	4	1	1	0	1	0	0	0	8	2	0	0	1	2	1	0	1	2	5	1	0	2	0	0	1	2	1	0	0	0	0	0	0	0	2	2	3	1	4	3	4	0	3	0	0	0	0	3	0	1	2	0	0	1	2	0	0	0	0	0	0	4	2	1	0	0	0	1	1	1	0	3	1	1	0	2	0	1	0	0	0	2	0	2	3	0	0	0	0	0	5	0	1	0	1	1	9	0	1	2	2	1	2	1	0	1	0	1	1	3	0	
Raped, Lost & Alone	8	5	3	8	5	5	14	12	1	6	0	38	0	5	0	4	2	4	4	1	2	6	1	20	2	3	3	0	8	0	0	0	3	3	2	126	12	0	1	31	11	43	13	14	106	1	0	0	4	8	1	0	15	0	28	9	3	0	10	1	1	51	2	0	2	1	2	0	0	1	7	2	0	0	0	0	22	4	0	4	3	10	3	0	0	0	6	17	3	2	0	0	4	6	24	0	0	26	30	0	3	33	1	2	2	9	2	0	34	12	0	20	2	0	0	0	1	0	2	2	0	0	6	3	5	7	1	21	3	6	19	2	1	4	0	25	12	1	1	0	8	68	19	13	0	7	1	0	0	6	1	5	0	5	7	3	5	26	18	0	13	20	6	34	14	3	0	1	3	4	7	12	4	17	1	0	2	19	0	1	1	5	1	0	0	6	12	6	4	29	0	0	9	7	21	3	1	1	9	1	0	6	1	0	22	4	3	28	2	15	3	4	2	7	7	0	0	8	30	23	0	12	0	32	10	2	5	3	0	0	3	2	10	36	5	14	0	9	14	0	2	14	4	1	0	8	1	0	4	0	2	4	9	0	15	2	30	0	25	1	49	3	29	19	1	1	2	2	0	7	8	0	1	0	1	13	3	2	0	21	5	16	1	1	16	8	9	0	0	22	0	1	0	8	2	1	2	0	31	12	0	4	7	3	2	3	4	15	0	30	0	7	2	7	1	8	4	20	14	10	3	6	2	9	1	5	0	3	7	0	5	16	3	6	3	18	0	7	3	5	0	2	40	3	26	0	72	11	3	2	0	0	2	0	7	8	3	8	0	1	5	1	0	6	83	0	11	0	52	0	3	0	2	9	1	0	0	0	7	13	12	7	0	21	14	0	10	6	7	1	11	3	2	10	0	3	1	26	3	0	2	1	0	2	0	11	8	1	0	1	12	29	6	22	7	0	17	8	9	3	0	3	24	0	0	4	3	3	8	2	3	1	2	0	1	1	0	39	2	21	0	0	1	1	51	1	16	3	0	0	4	2	0	2	22	0	2	15	19	0	0	18	0	3	22	0	10	1	5	0	5	2	9	5	5	4	3	3	5	26	0	0	6	0	1	1	7	2	5	10	4	13	11	7	20	14	0	7	6	0	
don't read	0	1	0	1	1	0	0	0	3	8	0	3	0	4	1	0	0	1	1	0	4	0	0	4	6	2	1	0	0	3	0	13	3	0	3	1	7	0	5	2	0	5	10	2	1	0	0	3	0	1	1	7	3	2	4	3	0	1	4	0	2	4	5	0	0	0	0	3	0	2	4	0	24	2	0	1	2	1	1	1	3	4	0	21	4	0	3	2	1	2	3	0	1	0	72	29	0	6	3	2	0	1	3	2	7	15	12	3	1	3	3	7	1	0	1	3	0	0	0	1	1	4	2	6	4	1	1	1	0	6	7	0	2	6	2	11	6	3	214	4	4	3	5	1	0	2	0	1	2	3	1	5	1	6	8	7	1	1	0	0	9	12	9	2	2	3	1	10	0	1	2	1	2	2	3	1	3	0	3	0	0	1	1	6	0	4	5	0	3	6	3	1	1	1	7	3	2	2	3	2	2	2	0	1	7	0	2	2	0	0	3	5	5	1	2	0	2	2	10	0	0	8	10	6	11	0	0	2	1	3	3	0	0	7	0	4	0	7	2	0	3	7	1	1	5	7	4	2	5	1	0	1	2	0	0	3	3	1	2	2	0	19	1	7	4	0	0	5	3	1	0	7	0	0	2	6	1	0	0	1	2	6	2	3	4	1	3	1	4	1	0	0	0	3	4	2	0	1	6	3	0	2	9	0	2	3	1	10	0	4	0	6	1	0	0	0	1	7	2	5	2	1	3	11	1	0	0	3	1	2	8	3	2	0	0	6	0	2	4	2	0	3	8	1	5	1	0	3	3	3	4	0	0	21	8	0	2	2	0	5	3	4	0	3	2	3	4	5	2	2	3	2	3	7	2	2	0	0	3	5	6	2	0	2	6	2	1	2	1	4	3	4	2	1	1	1	1	1	2	0	2	0	0	3	0	1	3	6	0	2	1	0	2	2	0	0	1	1	7	0	1	3	2	3	1	4	5	7	1	0	0	2	0	2	1	1	2	1	1	5	1	0	5	7	1	1	0	1	1	0	2	5	49	0	0	0	2	2	1	0	0	2	0	1	11	2	1	0	6	1	4	0	9	0	2	0	0	11	4	3	0	4	7	2	3	2	0	1	9	1	1	1	2	3	5	10	2	1	0	0	
*It's mY MoM's fAuLt*	3	2	2	4	0	6	3	3	0	2	0	10	6	0	0	3	4	5	0	2	33	17	2	2	2	0	0	0	1	0	1	0	4	3	5	5	2	0	6	13	10	2	16	6	1	2	1	0	1	8	1	2	0	8	1	4	0	1	19	0	2	7	5	0	1	23	1	1	0	1	6	0	1	1	0	4	0	0	0	6	3	4	0	0	5	1	3	3	0	0	7	0	1	8	0	0	5	5	2	0	2	12	5	0	2	1	2	0	10	3	0	1	5	0	0	1	13	6	6	3	0	2	3	2	3	1	2	4	1	2	5	0	4	5	4	6	2	5	0	0	0	17	4	5	0	0	5	0	4	0	1	3	1	8	1	0	2	1	1	0	1	2	0	7	0	3	9	0	3	1	5	4	3	2	2	1	3	1	0	1	3	0	0	3	3	1	7	0	0	11	5	2	0	3	11	2	3	0	5	0	0	1	1	0	1	1	4	2	3	3	0	6	2	0	2	1	0	2	2	7	5	7	0	2	9	1	8	0	3	2	4	0	4	4	8	0	3	1	6	0	5	1	2	4	1	0	0	4	7	0	0	2	4	0	2	3	3	0	1	1	3	2	4	9	0	0	7	0	0	0	6	1	0	0	0	4	3	0	1	12	1	4	0	0	6	1	6	0	2	5	1	0	0	5	1	2	2	0	5	6	0	0	0	1	3	4	1	1	2	8	1	0	0	16	9	0	10	7	0	6	5	9	1	2	0	3	6	3	5	0	1	0	0	1	3	3	0	3	2	0	0	3	8	0	17	0	0	7	36	3	0	0	0	0	2	13	8	5	4	0	2	1	1	2	2	0	6	11	2	0	0	0	0	1	0	7	0	0	0	8	10	2	0	2	1	1	1	8	6	3	0	1	1	2	0	1	1	5	1	0	7	3	2	1	0	3	0	2	3	0	0	21	2	23	1	0	17	3	20	18	2	4	8	12	0	1	2	5	3	3	7	0	3	0	8	1	0	3	7	4	1	0	1	1	3	2	0	11	1	0	5	1	1	1	1	1	17	1	3	2	2	25	0	0	4	1	0	0	6	0	4	11	1	9	1	2	4	1	8	4	0	2	3	0	6	0	0	2	2	1	4	0	5	3	5	2	1	2	6	0	
Whither Laffs?	2	8	1	0	0	1	0	0	1	5	2	0	0	0	0	2	3	0	0	1	0	2	2	2	9	2	0	3	4	2	4	5	1	0	15	3	5	0	1	1	0	10	2	0	16	2	0	5	2	2	1	2	10	0	4	1	1	1	0	30	2	0	3	3	88	0	2	2	0	2	4	0	5	2	1	0	1	25	0	0	0	2	2	0	0	4	4	1	1	3	0	1	4	1	2	7	1	0	1	0	1	0	0	0	0	10	3	10	1	4	5	2	1	68	40	6	1	0	2	1	0	0	0	1	1	2	1	0	15	0	0	1	1	0	2	1	2	0	0	0	4	5	1	0	0	2	3	3	1	3	2	2	1	0	4	3	9	1	5	0	15	7	4	1	1	2	10	6	0	6	0	1	4	2	0	0	3	3	3	1	5	2	8	0	0	2	1	2	2	5	0	0	1	1	1	0	0	4	0	4	7	3	9	0	3	2	1	0	0	0	64	2	1	0	2	2	5	3	0	0	13	1	3	2	0	3	0	0	1	1	0	2	0	1	0	3	2	0	3	0	1	2	2	0	1	3	3	1	1	0	0	0	4	38	0	6	0	0	0	4	2	0	2	1	5	12	0	1	18	0	1	1	1	1	0	4	10	0	7	3	1	1	5	4	2	1	1	0	4	5	4	2	0	0	0	2	1	0	4	3	0	1	1	0	3	5	0	0	2	1	0	0	2	7	0	99	0	3	1	1	2	1	1	1	7	1	0	4	0	1	6	17	0	2	10	0	15	0	14	0	0	1	0	3	4	1	18	1	1	0	3	3	0	1	1	2	6	0	1	0	3	1	0	1	6	1	3	0	1	3	12	0	1	0	5	3	0	0	3	3	3	3	0	0	0	0	0	1	2	0	3	2	1	0	4	4	1	0	8	1	1	0	2	6	157	4	2	1	5	0	5	1	9	1	2	0	0	1	1	1	2	2	0	3	30	0	3	1	0	1	6	0	1	1	2	2	73	2	0	1	1	0	1	5	1	3	1	0	3	1	0	4	0	0	3	0	4	1	1	0	1	2	0	0	1	2	0	1	4	0	11	0	1	1	0	2	2	0	33	6	2	2	3	0	1	0	0	6	1	1	4	0	0	0	0	1	0	0	3	0	
My life is like a fArt!	1	3	5	6	1	5	0	0	0	5	8	0	0	5	18	8	1	1	11	2	3	0	2	4	3	1	7	0	2	0	2	12	1	1	3	7	12	5	0	8	2	3	0	1	6	12	0	4	2	5	2	1	1	0	5	2	11	0	1	0	61	1	4	0	1	0	30	1	0	2	4	5	0	2	11	0	8	1	1	8	11	3	11	0	2	1	6	0	1	6	37	0	4	8	3	6	0	0	7	0	21	5	0	12	2	4	0	6	2	0	0	4	3	1	5	0	0	1	9	4	2	5	2	13	17	0	3	7	2	0	1	8	4	0	0	1	10	0	0	0	4	1	2	0	30	5	8	1	17	2	6	3	6	4	2	1	7	3	3	0	9	6	2	2	22	6	16	18	3	0	0	12	0	7	2	0	5	0	5	0	1	3	3	1	0	6	4	15	0	13	5	0	10	1	5	8	4	14	5	2	0	2	1	0	7	10	6	3	3	6	11	6	3	5	0	2	10	7	3	1	3	6	1	0	7	3	7	0	2	1	9	1	8	5	4	2	3	6	6	0	23	2	5	1	3	4	2	4	1	1	6	0	7	2	0	6	4	6	16	0	10	4	10	7	3	0	2	0	0	0	1	0	0	0	41	3	32	0	0	20	2	1	0	3	6	0	12	1	2	5	3	0	6	9	8	21	8	0	6	10	3	8	2	1	0	1	11	3	14	8	0	5	15	16	1	10	1	7	14	5	5	0	0	1	4	0	0	9	4	7	11	8	5	0	1	3	0	1	4	14	0	0	3	5	10	2	15	1	0	0	2	3	0	5	15	4	4	2	18	0	9	4	1	3	25	8	2	1	7	12	2	1	4	0	3	1	1	0	10	6	2	0	8	3	3	1	9	3	7	1	1	12	5	0	0	0	9	0	1	0	1	2	6	9	0	1	1	3	2	0	3	2	0	5	7	7	0	4	3	4	11	4	3	8	7	3	6	3	3	0	3	1	2	43	0	0	6	16	7	2	4	0	4	0	2	2	0	1	0	0	1	1	1	0	3	0	0	6	5	2	1	8	2	0	1	0	6	6	2	1	6	1	15	7	12	3	1	1	8	7	26	2	3	0	1	1	6	6	1	6	3	1	3	4	9	0	4	14	1	1	
As if you care.	0	0	0	0	0	1	0	0	0	0	0	1	2	4	0	1	0	0	1	0	0	0	0	0	3	1	2	0	2	3	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	2	3	0	4	0	1	0	15	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	1	1	2	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	2	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	0	1	0	1	1	2	1	0	0	0	0	0	2	1	0	0	0	5	1	0	0	0	1	0	0	0	0	0	1	5	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	4	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	2	3	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	1	4	2	0	0	3	0	0	0	0	0	1	0	0	0	2	18	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	2	1	0	1	1	2	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	3	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	3	0	1	0	0	0	0	2	1	0	2	2	0	0	0	0	3	0	0	
_	1	1	0	5	16	4	2	0	0	0	2	2	2	1	1	1	0	0	6	2	0	0	0	2	1	2	0	1	1	0	1	17	0	0	3	7	3	0	0	0	5	1	1	0	2	1	0	0	1	0	0	1	4	6	3	2	0	2	1	1	3	5	0	0	0	0	0	0	0	0	3	9	0	0	0	0	4	0	0	0	6	3	1	0	1	1	1	6	0	0	0	0	12	1	4	10	1	6	9	0	0	1	2	2	2	1	1	11	3	0	5	10	0	0	0	1	0	1	2	0	0	1	0	1	3	0	0	5	0	1	0	2	0	1	1	3	0	0	1	0	1	0	1	4	0	0	0	0	1	1	3	1	0	1	2	1	2	0	2	0	2	0	1	7	1	6	0	0	0	1	0	0	1	1	0	1	0	6	1	2	0	2	12	0	0	2	0	1	9	8	0	0	0	3	0	3	3	0	4	2	0	0	0	0	4	0	1	2	0	0	1	1	0	4	3	0	17	0	4	2	0	2	1	2	8	1	4	0	0	0	0	0	2	2	0	2	0	3	0	0	0	1	1	0	6	3	1	0	0	1	1	1	2	0	1	3	0	0	2	1	0	1	0	3	0	1	2	1	3	0	0	0	0	0	0	1	2	0	0	0	3	0	1	7	0	0	6	0	7	1	0	1	2	10	1	0	1	0	0	0	0	3	1	0	0	3	7	2	0	4	1	0	6	6	1	0	0	0	2	0	0	2	1	3	1	0	3	0	1	2	2	1	0	0	1	1	0	0	1	1	0	0	1	0	2	2	5	1	0	0	2	0	0	0	3	5	0	1	6	1	1	1	0	1	1	0	2	0	11	7	1	1	1	1	0	1	0	194	1	1	2	0	3	3	0	0	0	4	3	0	1	0	1	0	0	0	0	11	1	0	4	0	3	2	0	3	1	0	0	0	3	4	1	1	1	0	1	4	0	3	3	0	7	1	0	0	0	1	0	3	0	3	0	4	0	0	0	3	0	5	1	0	6	0	6	0	0	1	0	0	0	0	0	2	5	8	2	2	2	1	1	2	0	1	2	2	8	0	1	0	0	0	4	5	0	0	2	2	1	2	3	1	1	0	5	1	6	2	1	2	0	0	6	0	0	6	0	1	2	0	
BROKEN ELECTRO + INDIE BEATS	0	0	1	1	3	1	0	0	1	0	0	11	7	0	0	4	0	1	2	0	0	0	1	8	4	0	2	2	3	1	0	37	0	2	1	1	2	0	1	1	1	0	0	1	23	0	9	20	0	5	0	1	1	2	0	4	9	0	0	2	1	0	9	0	11	0	0	2	13	32	1	0	1	0	2	0	2	1	1	0	0	1	0	2	0	3	1	0	9	1	2	1	0	1	1	37	0	0	3	4	3	1	0	0	0	22	0	1	26	2	1	2	0	6	5	5	3	0	0	0	0	0	3	0	8	22	1	0	0	2	0	6	0	0	0	8	1	3	0	6	22	0	0	9	2	10	1	155	0	0	0	2	0	1	2	0	3	2	0	40	0	2	1	2	4	1	1	1	3	1	1	0	0	0	0	0	1	0	12	1	0	0	6	1	0	0	1	1	3	0	0	3	11	2	0	1	0	2	0	5	5	0	0	0	0	0	1	0	0	1	0	0	1	0	0	4	0	0	3	0	0	9	5	4	3	5	2	1	5	2	0	2	1	4	1	0	1	0	3	0	2	3	0	0	1	1	0	1	1	2	0	7	2	2	2	3	0	0	0	1	0	0	2	0	1	0	0	4	5	2	0	5	3	4	0	0	12	40	0	0	0	0	2	2	1	1	2	2	4	4	0	2	0	0	1	0	0	0	0	0	0	1	0	8	6	0	1	0	1	4	48	3	1	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	0	1	3	3	0	1	1	1	2	0	0	0	10	0	0	1	0	0	0	1	0	0	2	2	4	0	1	0	1	0	0	22	0	0	0	0	5	0	1	0	0	4	30	0	12	0	10	0	22	1	0	0	1	1	1	2	4	1	0	2	1	0	2	1	8	0	1	0	1	0	1	0	0	11	0	1	1	1	0	10	1	1	0	1	0	0	1	1	2	0	0	3	0	0	1	4	1	0	2	4	0	12	0	0	21	0	7	31	30	0	0	2	0	134	1	3	0	1	1	0	2	24	0	0	0	2	0	0	0	0	0	0	16	1	32	0	4	3	1	1	8	3	0	0	0	1	1	1	1	4	0	1	0	0	2	33	0	14	0	1	0	0	5	2	3	3	1	2	6	2	0	26	
Martinez Family	0	2	1	1	0	2	2	2	1	0	0	0	0	0	0	0	0	0	1	1	5	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	2	0	1	0	0	2	0	0	0	1	6	1	1	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	8	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	4	0	1	1	1	0	4	0	0	0	1	2	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	7	0	1	1	0	3	0	1	0	0	1	2	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	4	0	0	0	0	2	0	0	3	1	0	1	0	0	0	0	2	4	0	0	2	0	1	0	0	0	2	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	1	0	1	1	0	0	1	3	2	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	2	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	0	0	0	6	1	2	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	4	0	2	1	0	0	0	0	0	0	1	1	0	0	5	0	0	0	0	3	0	1	1	0	0	0	0	0	4	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	1	0	0	0	4	0	0	0	1	0	0	0	0	5	0	0	0	1	4	0	0	1	0	2	0	0	1	0	0	0	4	0	0	0	0	0	0	2	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	1	1	0	
